year_id,country_id,population
1,3,200
1,7,360
1,8,500
1,11,300
1,15,500
1,24,80
1,25,300
1,27,59600
1,36,1000
1,40,3000
1,43,180
1,45,2000
1,47,4500
1,48,3750
1,50,500
1,51,20
1,52,5000
1,54,800
1,61,2000
1,67,300
1,68,2800
1,69,75000
1,71,4000
1,72,1000
1,75,8000
1,78,3000
1,88,400
1,95,1000
1,98,2200
1,105,50
1,114,200
1,115,100
1,123,450
1,126,400
1,130,800
1,134,2000
1,141,3900
1,144,200
1,154,800
1,155,8000
1,161,680
1,166,1500
1,167,100
3,3,200
3,7,400
3,8,700
3,11,400
3,15,800
3,20,700
3,24,160
3,25,300
3,27,59000
3,36,1250
3,40,3500
3,43,360
3,45,2000
3,47,5000
3,48,4000
3,50,1000
3,51,40
3,52,6500
3,54,2000
3,61,1000
3,67,500
3,68,5200
3,69,75000
3,71,4500
3,72,2000
3,75,5000
3,78,7500
3,88,500
3,95,2000
3,97,200
3,98,4500
3,105,300
3,114,300
3,115,200
3,117,10
3,121,3000
3,123,1200
3,126,600
3,130,800
3,134,3000
3,141,7100
3,144,400
3,154,1000
3,155,7000
3,161,1300
3,166,1750
3,167,300
254,3,200
254,7,450
254,8,2000
254,11,1400
254,15,800
254,20,1000
254,24,250
254,25,650
254,27,103000
254,36,3000
254,40,12000
254,43,600
254,45,1500
254,47,4000
254,48,6800
254,50,2000
254,51,300
254,52,15000
254,54,3942
254,61,1000
254,67,1250
254,68,10700
254,69,110000
254,70,800
254,71,4000
254,72,1000
254,75,10500
254,78,15400
254,88,500
254,95,1500
254,97,700
254,98,7500
254,105,1000
254,114,950
254,115,300
254,117,100
254,121,4000
254,123,4000
254,126,1000
254,130,2000
254,134,4000
254,141,16950
254,144,550
254,154,800
254,155,6300
254,161,2000
254,166,2250
254,167,600
354,3,200
354,7,450
354,8,2500
354,11,1600
354,15,1250
354,20,800
354,24,250
354,25,1000
354,27,160000
354,36,4500
354,40,16000
354,43,650
354,45,2250
354,47,5000
354,48,8240
354,50,2250
354,51,400
354,52,18500
354,54,6170
354,61,1500
354,67,1250
354,68,11700
354,69,135000
354,70,1000
354,71,5000
354,72,1250
354,75,13100
354,78,18500
354,88,500
354,95,2250
354,97,800
354,98,2500
354,105,1250
354,114,1500
354,115,400
354,117,100
354,121,1300
354,123,5000
354,126,1100
354,130,2000
354,134,4200
354,141,20700
354,144,760
354,154,1000
354,155,7900
354,161,1500
354,166,2750
354,167,700
454,3,300
454,7,450
454,8,2500
454,11,2000
454,15,1250
454,20,1250
454,24,200
454,25,1200
454,27,138000
454,36,4500
454,40,15000
454,43,700
454,45,1750
454,47,4500
454,48,8770
454,50,2500
454,51,400
454,52,21471
454,54,8565
454,61,1500
454,67,1500
454,68,13100
454,69,165000
454,70,1925
454,71,5000
454,72,1000
454,75,13300
454,78,27000
454,88,500
454,95,1750
454,97,1000
454,98,4500
454,105,1500
454,114,1900
454,115,500
454,117,100
454,121,1300
454,123,6000
454,126,2000
454,130,2500
454,134,4400
454,141,26550
454,144,1260
454,154,800
454,155,8400
454,161,1000
454,166,2750
454,167,1000
574,1,3280
574,3,437
574,5,534
574,7,334
574,8,3369
574,11,3434
574,15,2187
574,19,1100
574,20,4507
574,24,816
574,25,1986
574,26,771
574,27,381000
574,32,1206
574,35,63
574,36,7657
574,37,605
574,40,24905
574,42,2
574,43,1155
574,45,2689
574,46,500
574,47,4194
574,48,12203
574,50,3154
574,51,1169
574,52,31250
574,54,21239
574,61,2312
574,62,595
574,63,17
574,64,135
574,66,723
574,67,4146
574,68,17927
574,69,209000
574,70,7101
574,71,6560
574,72,1093
574,75,20176
574,76,401
574,77,217
574,78,31000
574,82,2090
574,83,9395
574,85,470
574,86,332
574,88,538
574,90,1213
574,95,2689
574,97,1683
574,98,6587
574,102,3506
574,104,619
574,105,2096
574,109,287
574,113,186
574,114,2333
574,115,970
574,116,3881
574,117,100
574,118,318
574,121,1317
574,122,2176
574,123,10426
574,124,248
574,125,4345
574,126,3297
574,127,143
574,128,336
574,130,6389
574,133,2091
574,134,5156
574,136,30
574,138,248
574,141,54765
574,144,2573
574,147,1337
574,150,4665
574,153,60
574,154,875
574,155,10074
574,156,2000
574,160,55
574,161,9981
574,163,718
574,164,6551
574,165,2593
574,166,5215
574,167,1550
575,7,331
575,8,3386
575,11,3464
575,25,1998
575,26,789
575,27,383712
575,40,25260
575,43,1167
575,48,12284
575,51,1186
575,52,31460
575,54,21551
575,61,2333
575,68,18076
575,69,209842
575,70,7200
575,75,20306
575,78,31033
575,114,2365
575,115,984
575,126,3316
575,144,2598
575,161,10299
576,7,329
576,8,3402
576,11,3495
576,25,2008
576,26,807
576,27,386442
576,40,25620
576,43,1179
576,48,12366
576,51,1202
576,52,31685
576,54,21832
576,61,2355
576,68,18226
576,69,210688
576,70,7267
576,75,20437
576,78,31066
576,114,2400
576,115,998
576,126,3335
576,144,2629
576,161,10626
577,7,329
577,8,3419
577,11,3526
577,25,2020
577,26,826
577,27,389193
577,40,25969
577,43,1196
577,48,12449
577,51,1219
577,52,31905
577,54,22117
577,61,2376
577,68,18377
577,69,211537
577,70,7335
577,75,20568
577,78,31099
577,114,2435
577,115,1013
577,126,3354
577,144,2668
577,161,10951
578,7,332
578,8,3436
578,11,3557
578,25,2031
578,26,845
578,27,391962
578,40,26307
578,43,1213
578,48,12532
578,51,1235
578,52,32127
578,54,22407
578,61,2398
578,68,18530
578,69,212389
578,70,7403
578,75,20701
578,78,31132
578,114,2474
578,115,1028
578,126,3373
578,144,2708
578,161,11277
579,7,333
579,8,3452
579,11,3589
579,25,2042
579,26,864
579,27,394752
579,40,26650
579,43,1228
579,48,12615
579,51,1252
579,52,32350
579,54,22698
579,61,2420
579,68,18684
579,69,213245
579,70,7472
579,75,20834
579,78,31164
579,114,2514
579,115,1044
579,126,3393
579,144,2749
579,161,11602
580,7,330
580,8,3469
580,11,3620
580,25,2054
580,26,884
580,27,397561
580,40,26964
580,43,1243
580,48,12699
580,51,1268
580,52,32538
580,54,22996
580,61,2443
580,68,18839
580,69,214105
580,70,7542
580,75,20968
580,78,31197
580,114,2543
580,115,1062
580,126,3412
580,144,2788
580,161,11928
581,7,328
581,8,3486
581,11,3652
581,25,2065
581,26,904
581,27,400391
581,40,27249
581,43,1255
581,48,12784
581,51,1310
581,52,32727
581,54,23275
581,61,2465
581,68,18996
581,69,214967
581,70,7612
581,75,21103
581,78,31231
581,114,2561
581,115,1079
581,126,3432
581,144,2816
581,161,12251
582,7,326
582,8,3504
582,11,3685
582,25,2077
582,26,924
582,27,403240
582,40,27540
582,43,1265
582,48,12869
582,51,1326
582,52,32917
582,54,23560
582,61,2488
582,68,19154
582,69,215834
582,70,7683
582,75,21239
582,78,31264
582,114,2585
582,115,1093
582,126,3452
582,144,2837
582,161,12581
583,7,326
583,8,3521
583,11,3717
583,25,2088
583,26,944
583,27,406110
583,40,27807
583,43,1270
583,48,12955
583,51,1343
583,52,33108
583,54,23847
583,61,2511
583,68,19313
583,69,216703
583,70,7755
583,75,21376
583,78,31297
583,114,2610
583,115,1108
583,126,3472
583,144,2855
583,161,12906
584,7,330
584,8,3538
584,11,3750
584,24,1169
584,25,2100
584,26,965
584,27,409000
584,40,28045
584,43,1273
584,48,13041
584,51,1364
584,52,33300
584,54,24139
